2024-11-06 12:17:45,420 INFO    MainThread:4173550 [wandb_setup.py:_flush():79] Current SDK version is 0.18.2
2024-11-06 12:17:45,421 INFO    MainThread:4173550 [wandb_setup.py:_flush():79] Configure stats pid to 4173550
2024-11-06 12:17:45,421 INFO    MainThread:4173550 [wandb_setup.py:_flush():79] Loading settings from /home/lijun/.config/wandb/settings
2024-11-06 12:17:45,421 INFO    MainThread:4173550 [wandb_setup.py:_flush():79] Loading settings from /data1/1shared/lijun/ecg/ECG-EchoReport/pretrain/wandb/settings
2024-11-06 12:17:45,421 INFO    MainThread:4173550 [wandb_setup.py:_flush():79] Loading settings from environment variables: {}
2024-11-06 12:17:45,421 INFO    MainThread:4173550 [wandb_setup.py:_flush():79] Applying setup settings: {'mode': None, '_disable_service': None}
2024-11-06 12:17:45,421 INFO    MainThread:4173550 [wandb_setup.py:_flush():79] Inferring run settings from compute environment: {'program_relpath': 'pretrain/main.py', 'program_abspath': '/data1/1shared/lijun/ecg/ECG-EchoReport/pretrain/main.py', 'program': '/data1/1shared/lijun/ecg/ECG-EchoReport/pretrain/main.py'}
2024-11-06 12:17:45,421 INFO    MainThread:4173550 [wandb_setup.py:_flush():79] Applying login settings: {}
2024-11-06 12:17:45,421 INFO    MainThread:4173550 [wandb_init.py:_log_setup():532] Logging user logs to /data1/1shared/lijun/ecg/ECG-EchoReport/pretrain/wandb/run-20241106_121745-p16f38cu/logs/debug.log
2024-11-06 12:17:45,421 INFO    MainThread:4173550 [wandb_init.py:_log_setup():533] Logging internal logs to /data1/1shared/lijun/ecg/ECG-EchoReport/pretrain/wandb/run-20241106_121745-p16f38cu/logs/debug-internal.log
2024-11-06 12:17:45,421 INFO    MainThread:4173550 [wandb_init.py:init():616] calling init triggers
2024-11-06 12:17:45,422 INFO    MainThread:4173550 [wandb_init.py:init():623] wandb.init called with sweep_config: {}
config: {'learning_rate': 0.001, 'total_epochs': 50, 'weight_decay': 1e-08, 'ecg_model': 'resnet18', 'text_model': 'ncbi/MedCPT-Query-Encoder', 'batch_size': 128, 'val_zeroshot': 'all_sets', 'prompt_type': 'CKEPE'}
2024-11-06 12:17:45,422 INFO    MainThread:4173550 [wandb_init.py:init():666] starting backend
2024-11-06 12:17:45,422 INFO    MainThread:4173550 [wandb_init.py:init():670] sending inform_init request
2024-11-06 12:17:45,424 INFO    MainThread:4173550 [backend.py:_multiprocessing_setup():104] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2024-11-06 12:17:45,425 INFO    MainThread:4173550 [wandb_init.py:init():683] backend started and connected
2024-11-06 12:17:45,430 INFO    MainThread:4173550 [wandb_init.py:init():778] updated telemetry
2024-11-06 12:17:45,437 INFO    MainThread:4173550 [wandb_init.py:init():811] communicating run to backend with 90.0 second timeout
2024-11-06 12:17:46,321 INFO    MainThread:4173550 [wandb_init.py:init():862] starting run threads in backend
2024-11-06 12:17:46,491 INFO    MainThread:4173550 [wandb_run.py:_console_start():2464] atexit reg
2024-11-06 12:17:46,492 INFO    MainThread:4173550 [wandb_run.py:_redirect():2312] redirect: wrap_raw
2024-11-06 12:17:46,492 INFO    MainThread:4173550 [wandb_run.py:_redirect():2377] Wrapping output streams.
2024-11-06 12:17:46,492 INFO    MainThread:4173550 [wandb_run.py:_redirect():2402] Redirects installed.
2024-11-06 12:17:46,494 INFO    MainThread:4173550 [wandb_init.py:init():906] run started, returning control to user process
